no floss???,neg
fat,neg
no mouth wash????,neg
umilliation ritual,neg
CLIPFARM,neg
lipfarm,neg
obesee,neg
use the horse,neg
USE THE UNSHEATE ASH OF WAR PLEASE!,neg
WWWW,pos
dont panic roll,neg
!watchtime,pos
Horse use horse,neg
hit him,neg
Ly,pos
he wonâ€™t make it guys not enough views,neg
Longest ever jynxi stream,pos
poopgiver690 has spent  5 days 20 hours watching jynxzi,pos
KAI CENAT CLONE,neg
HOW MANY DEATH ?,neg
WW,pos
CMON BROOO,pos
WWWWWWWW,pos
WW,pos
jynxziCharizard,pos
USE THE HORSE USE THE HORSE USE THE HORSE USE THE HORSE USE THE HORSE USE THE HORSE,neg
USE HORSEEE,neg
L ATTACKING,neg
5-37 kevin,neg
horse bro!,neg
horse wont help him,neg
Nice,pos
WAITTTTTTTT,neg
WOW,pos
YESSS,pos
Fight him while being on a horse,neg
W DODGE,pos
IN YOUR INVENTORY YOU HAVE WOLVES USE THEM,neg
HE'S KINDA GAMING,pos
WWWWWWW,pos
dodging wrong way into his attacks,neg
Use hors3,pos
heallll,pos
SPAM ROLLING,neg
TwitchConHYPE TwitchConHYPE TwitchConHYPE TwitchConHYPE TwitchConHYPE,pos
letâ€™s go,pos
horsey,pos
THIS IS IT,pos
THERE YOU GO,pos
I will assist you if I must,neg
USE HORSEEEEE,neg
NO,neg
kai cenat,pos
USE HORSE,neg
LLL,neg
WWWW,pos
roll shield side to ass,neg
w strem,pos
check ur email g,pos
lmao,pos
heal,pos
hop that ass on among us,neg
ur actually decent,pos
WWWWW,pos
0-27 devennn,neg
OMG,pos
WWWWW,pos
28-nate,neg
Mid Junko,neg
WW,pos
PauseChamp,neg
DIE,neg
USE THE HORSE USE THE HORSE USE THE HORSE USE THE HORSE USE THE HORSE USE THE HORSE.,neg
BACK upp,neg
L MOVEMENT,neg
heal,neg
W,pos
HEAL,neg
heal,neg
1v1 me in elden ring when your maxed out,neg
W,pos
"I might not get game, it's hard as fuck",neg
YOOOO,pos
USE UNSHEATHE,neg
TOO GREEDY,neg
HEAL,pos
USE HORSEEEEEEE,neg
ALMOST,pos
REFUND THE 20 DEATHS PREDICTIO.N!,neg
L POSTURE,neg
NO REFUNDS NO REFUNDS NO REFUNDS NO REFUNDS,neg
BOOOOOOOOOOOOOO,neg
NO WAY,pos
THERE YOU GO,pos
wait,pos
ww,pos
wwwwwwwww,pos
WWWWWWWWW,pos
U WIN,pos
HEAL,neg
DONT SELL,neg
PepeLaugh NOW SELL,neg
LT,neg
WWW,pos
W,pos
USE LT WHEN HE FINISHES HIS ANIMATIONS AND LEARN HIS ATTACK PATTERNS,neg
heal,pos
ooooooo,neg
now he trying to,pos
COME ON BRO,pos
wwwwwwwwww,pos
REFUND THE 20 DEATHS PREDICTION!,neg
LLLLLLLL,neg
L FACE,neg
jynxziBALD_TK,neg
COME ONN,pos
ðŸ’€,pos
WWWWW,pos
hes crazy,pos
USE HORSE,pos
COME ON,pos
HEALLL,pos
